India/State/UT/CITY/U.A. Name,Type,Age_group,TotalPopulation_Persons,TotalPopulation_Males,TotaPopulation_Females,Total Main Workers (I-IX) - Males,Total Main Workers (I-IX) - Females,Industrial Category of Main Workers - I - Males,Industrial Category of Main Workers - I - Females,Industrial Category of Main Workers - II - Males,Industrial Category of Main Workers - II - Females,Industrial Category of Main Workers - V(a) - Males,Industrial Category of Main Workers - V(a) - Females,"Industrial Category of Main Workers - III,IV,V(b)& VI to IX - Males","Industrial Category of Main Workers - III,IV,V(b)& VI to IX - Females"
BANGALORE RURAL,TOTAL, TOTAL,1673194,860231,812963,477616,145427,248725,60616,77417,55345,12728,5206,138746,24260
BANGALORE RURAL,TOTAL, 5-14,416007,208188,207819,16760,11200,6560,3090,4560,4600,460,610,5180,2900
BANGALORE RURAL,TOTAL,15-19,160893,85474,75419,47034,16575,23290,6630,11110,6230,1100,790,11534,2925
BANGALORE RURAL,TOTAL,20-24,142734,74695,68039,60685,17450,30285,6890,10040,6670,2050,670,18310,3220
BANGALORE RURAL,TOTAL,25-29,135115,64665,70450,60845,20035,28930,7610,8305,7880,1830,620,21780,3925
BANGALORE RURAL,TOTAL,30-34,110799,53681,57118,52081,18508,23880,7870,8130,7117,1371,641,18700,2880
BANGALORE RURAL,TOTAL,35-39,108615,56360,52255,55290,17675,25700,7670,9020,6520,1630,605,18940,2880
BANGALORE RURAL,TOTAL,40-49,164710,89871,74839,87624,24310,47260,11230,13122,9220,2030,800,25212,3060
BANGALORE RURAL,TOTAL,50-59,105661,57577,48084,54007,12374,32670,6276,7600,4478,1247,290,12490,1330
BANGALORE RURAL,TOTAL,60-69,78810,41390,37420,30500,5520,21470,2510,3880,2060,790,130,4360,820
BANGALORE RURAL,TOTAL,70-79,36710,19100,17610,9180,1020,6490,500,1180,320,160,20,1350,180
BANGALORE RURAL,TOTAL,80+,20360,10420,9940,2690,460,1830,280,330,150,50,0,480,30
BANGALORE RURAL,TOTAL,A.N.S.,11660,6150,5510,920,300,360,60,140,100,10,30,410,110
BANGALORE RURAL,TOTAL,15-59,928527,482323,446204,417566,126927,212015,54176,67327,48115,11258,4416,126966,20220
BANGALORE RURAL,TOTAL,60+,135880,70910,64970,42370,7000,29790,3290,5390,2530,1000,150,6190,1030
BANGALORE RURAL,RURAL, TOTAL,1369908,703416,666492,394746,128487,242145,59810,71432,52957,6317,2885,74852,12835
BANGALORE RURAL,RURAL, 5-14,339382,169444,169938,13370,9420,6390,3070,4330,4410,230,380,2420,1560
BANGALORE RURAL,RURAL,15-19,129741,69606,60135,39270,14495,22900,6610,10270,6060,550,350,5550,1475
BANGALORE RURAL,RURAL,20-24,113003,59845,53158,49995,15140,29555,6820,9320,6270,920,400,10200,1650
BANGALORE RURAL,RURAL,25-29,107940,51690,56250,49040,17620,28020,7520,7560,7520,770,350,12690,2230
BANGALORE RURAL,RURAL,30-34,90127,43050,47077,41950,16487,23260,7790,7630,6857,730,300,10330,1540
BANGALORE RURAL,RURAL,35-39,87025,44450,42575,43660,15495,24960,7530,8190,6200,780,345,9730,1420
BANGALORE RURAL,RURAL,40-49,137883,74614,63269,72984,22020,46130,11030,12242,8940,1030,500,13582,1550
BANGALORE RURAL,RURAL,50-59,89827,48337,41490,45897,11370,31720,6200,6870,4200,617,140,6690,830
BANGALORE RURAL,RURAL,60-69,67950,35790,32160,27340,4900,20810,2420,3580,1960,540,90,2410,430
BANGALORE RURAL,RURAL,70-79,32060,16810,15250,8130,900,6260,480,1010,310,100,10,760,100
BANGALORE RURAL,RURAL,80+,18040,9250,8790,2430,460,1790,280,320,150,40,0,280,30
BANGALORE RURAL,RURAL,A.N.S.,9410,5040,4370,680,180,350,60,110,80,10,20,210,20
BANGALORE RURAL,RURAL,15-59,755546,391592,363954,342796,112627,206545,53500,62082,46047,5397,2385,68772,10695
BANGALORE RURAL,RURAL,60+,118050,61850,56200,37900,6260,28860,3180,4910,2420,680,100,3450,560
BANGALORE RURAL,URBAN, TOTAL,303286,156815,146471,82870,16940,6580,806,5985,2388,6411,2321,63894,11425
BANGALORE RURAL,URBAN, 5-14,76625,38744,37881,3390,1780,170,20,230,190,230,230,2760,1340
BANGALORE RURAL,URBAN,15-19,31152,15868,15284,7764,2080,390,20,840,170,550,440,5984,1450
BANGALORE RURAL,URBAN,20-24,29731,14850,14881,10690,2310,730,70,720,400,1130,270,8110,1570
BANGALORE RURAL,URBAN,25-29,27175,12975,14200,11805,2415,910,90,745,360,1060,270,9090,1695
BANGALORE RURAL,URBAN,30-34,20672,10631,10041,10131,2021,620,80,500,260,641,341,8370,1340
BANGALORE RURAL,URBAN,35-39,21590,11910,9680,11630,2180,740,140,830,320,850,260,9210,1460
BANGALORE RURAL,URBAN,40-49,26827,15257,11570,14640,2290,1130,200,880,280,1000,300,11630,1510
BANGALORE RURAL,URBAN,50-59,15834,9240,6594,8110,1004,950,76,730,278,630,150,5800,500
BANGALORE RURAL,URBAN,60-69,10860,5600,5260,3160,620,660,90,300,100,250,40,1950,390
BANGALORE RURAL,URBAN,70-79,4650,2290,2360,1050,120,230,20,170,10,60,10,590,80
BANGALORE RURAL,URBAN,80+,2320,1170,1150,260,0,40,0,10,0,10,0,200,0
BANGALORE RURAL,URBAN,A.N.S.,2250,1110,1140,240,120,10,0,30,20,0,10,200,90
BANGALORE RURAL,URBAN,15-59,172981,90731,82250,74770,14300,5470,676,5245,2068,5861,2031,58194,9525
BANGALORE RURAL,URBAN,60+,17830,9060,8770,4470,740,930,110,480,110,320,50,2740,470
